1,108775,108775
2,110065,110065
3,111565,111565
4,111586,111586
5,111593,111593
6,111609,111609
7,112679,112679
8,114428,114428
9,116379,116379
10,118458,118458
11,120129,120129
12,123173,123173
13,126589,126589
14,129085,129085
15,130035,130035
16,141661,141661
17,144993,144993
18,145872,145872
19,146706,146706
20,146721,146721
21,146730,146730
22,147339,147339
23,148033,148033
24,150959,150959
25,153115,153115
26,156224,156224
27,156227,156227
28,156231,156231
29,156289,156289
30,156610,156610
31,158340,158340
32,160442,160442
33,162074,162074
34,163734,163734
35,164912,164912
36,174057,174057
37,176209,176209
38,176550,176550
39,176754,176754
40,179123,179123
41,179208,179208
42,179393,179393
43,179950,179950
44,181160,181160
45,181448,181448
46,182909,182909
47,183815,183815
48,184121,184121
49,184123,184123
50,184583,184583
51,186262,186262
52,186264,186264
53,186266,186266
54,186267,186267
55,186372,186372
56,186595,186595
57,187949,187949
58,188183,188183
59,189383,189383
60,189616,189616
61,189626,189626
62,189634,189634
63,189654,189654
64,189691,189691
65,189955,189955
66,190021,190021
67,190252,190252
68,192460,192460
69,192960,192960
70,194037,194037
71,194242,194242
72,194270,194270
73,194902,194902
74,198518,198518
75,198714,198714
76,199119,199119
77,200182,200182
78,200761,200761
79,201219,201219
80,202017,202017
81,203027,203027
82,203595,203595
83,204892,204892
84,205225,205225
85,211143,211143
86,212042,212042
87,212629,212629
88,212766,212766
89,213690,213690
90,213691,213691
91,214844,214844
92,215248,215248
93,215303,215303
94,215324,215324
95,215337,215337
96,215589,215589
97,216081,216081
98,216961,216961
99,217207,217207
100,217727,217727
101,218354,218354
102,218829,218829
103,219075,219075
104,220094,220094
105,220365,220365
106,224314,224314
107,224337,224337
108,224521,224521
109,224606,224606
110,225286,225286
111,225784,225784
112,226011,226011
113,226959,226959
114,228257,228257
115,233091,233091
116,233672,233672
117,234187,234187
118,234421,234421
119,234432,234432
120,234622,234622
121,235596,235596
122,235732,235732
123,237032,237032
124,237222,237222
125,237347,237347
126,238197,238197
127,240561,240561
128,240670,240670
129,240840,240840
130,241412,241412
131,241436,241436
132,241486,241486
133,241590,241590
134,241602,241602
135,242354,242354
136,243613,243613
137,243937,243937
138,244267,244267
139,244269,244269
140,244853,244853
141,245348,245348
142,247072,247072
143,249136,249136
144,250099,250099
145,250457,250457
146,251510,251510
147,252229,252229
148,252298,252298
149,253176,253176
150,253448,253448
151,254303,254303
152,254457,254457
153,254940,254940
154,255396,255396
155,256096,256096
156,256151,256151
157,256511,256511
158,256513,256513
159,257430,257430
160,257667,257667
161,258650,258650
162,260736,260736
163,261526,261526
164,261606,261606
165,261840,261840
166,262277,262277
167,264713,264713
168,264984,264984
169,265069,265069
170,265071,265071
171,265630,265630
172,266168,266168
173,266873,266873
174,266875,266875
175,268305,268305
176,268450,268450
177,269342,269342
178,270375,270375
179,270381,270381
180,270382,270382
181,272591,272591
182,275362,275362
183,276242,276242
184,276540,276540
185,277738,277738
186,278038,278038
187,278563,278563
188,278811,278811
